Foto,Latitude,Longitude,Local
2019-02-25_14-24-57_UTC.jpg,-8.7630169081,-35.1042623818,ICMBio Costa dos Corais
2019-01-25_13-51-21_UTC.jpg,-7.0763381,-34.8304877,Caribessa
2020-02-18_23-23-42_UTC.jpg,,,
2020-01-16_23-56-22_UTC.jpg,-9.014301234,-35.222041477,Maragogi - Alagoas - Caribe Brasileiro
2019-06-20_22-12-15_UTC_1.jpg 2019-06-20_22-12-15_UTC_2.jpg,,,
2020-04-19_17-50-55_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2019-11-06_12-13-54_UTC.jpg,-16.707067898,-49.2701840401,Faculdade Araguaia
2019-02-10_18-19-51_UTC.jpg,-17.1162261478,-39.1897763152,"Cumuruxatiba, Bahia, Brazil"
2019-07-09_22-35-03_UTC.jpg,,,
2020-05-25_19-53-14_UTC.jpg,,,
2020-02-06_20-54-29_UTC_4.jpg 2020-02-06_20-54-29_UTC_8.jpg 2020-02-06_20-54-29_UTC_10.jpg 2020-02-06_20-54-29_UTC_1.jpg 2020-02-06_20-54-29_UTC_9.jpg 2020-02-06_20-54-29_UTC_3.jpg 2020-02-06_20-54-29_UTC_7.jpg 2020-02-06_20-54-29_UTC_5.jpg 2020-02-06_20-54-29_UTC_6.jpg 2020-02-06_20-54-29_UTC_2.jpg,-22.9066993767,-43.1326638299,UFF - Núcleo de Estudos em Biomassa e Gerenciamento de Águas (NAB)
2019-05-22_16-21-00_UTC_2.jpg 2019-05-22_16-21-00_UTC_3.jpg 2019-05-22_16-21-00_UTC_1.jpg,-17.73775687,-39.2595705767,Parque Nacional Marinho dos Abrolhos
2018-11-30_22-25-57_UTC_2.jpg 2018-11-30_22-25-57_UTC_1.jpg 2018-11-30_22-25-57_UTC_3.jpg,,,
2019-12-06_16-26-47_UTC_2.jpg 2019-12-06_16-26-47_UTC_1.jpg,,,
2019-12-26_23-20-06_UTC.jpg,,,
2020-06-02_19-52-52_UTC.jpg,-8.046660000000001,-34.8771,recife
2020-01-14_09-35-43_UTC.jpg,-8.75665,-35.1033,tamandaré
2020-05-14_22-56-55_UTC.jpg,,,
2018-11-18_16-13-44_UTC.jpg,,,maracajau
2019-11-05_22-58-49_UTC_1.jpg 2019-11-05_22-58-49_UTC_3.jpg 2019-11-05_22-58-49_UTC_2.jpg,,,
2019-05-03_16-01-21_UTC_3.jpg 2019-05-03_16-01-21_UTC_1.jpg 2019-05-03_16-01-21_UTC_2.jpg,-7.1592847871,-34.8544962266,Centro Universitário UNIPÊ
2019-01-10_22-55-02_UTC.jpg,,,
2019-02-17_21-49-28_UTC_2.jpg 2019-02-17_21-49-28_UTC_10.jpg 2019-02-17_21-49-28_UTC_8.jpg 2019-02-17_21-49-28_UTC_6.jpg 2019-02-17_21-49-28_UTC_7.jpg 2019-02-17_21-49-28_UTC_4.jpg 2019-02-17_21-49-28_UTC_3.jpg 2019-02-17_21-49-28_UTC_1.jpg 2019-02-17_21-49-28_UTC_9.jpg 2019-02-17_21-49-28_UTC_5.jpg,-23.82396,-45.36689,"Ilhabela, Sao Paulo, Brazil"
2018-12-06_14-15-14_UTC.jpg,,,maracajau
2018-11-01_22-13-59_UTC_2.jpg 2018-11-01_22-13-59_UTC_1.jpg,,,
2016-01-06_17-01-53_UTC.jpg,,,abrolhos
2018-10-04_22-54-51_UTC.jpg,,,
2020-01-22_11-43-09_UTC.jpg,-8.89788,-35.14476,"São José Da Coroa Grande, Pernambuco, Brazil"
2019-02-08_04-10-09_UTC.jpg,-23.622171,-46.411453,Parque Estadual Marinho da Laje de Santos
2019-11-21_22-45-18_UTC_6.jpg 2019-11-21_22-45-18_UTC_7.jpg 2019-11-21_22-45-18_UTC_3.jpg 2019-11-21_22-45-18_UTC_9.jpg 2019-11-21_22-45-18_UTC_5.jpg 2019-11-21_22-45-18_UTC_1.jpg 2019-11-21_22-45-18_UTC_2.jpg 2019-11-21_22-45-18_UTC_8.jpg 2019-11-21_22-45-18_UTC_4.jpg,,,
2020-03-17_22-32-14_UTC_3.jpg 2020-03-17_22-32-14_UTC_4.jpg 2020-03-17_22-32-14_UTC_1.jpg 2020-03-17_22-32-14_UTC_2.jpg,,,
2019-12-29_22-41-17_UTC.jpg,-9.014301234,-35.222041477,Maragogi - Alagoas - Caribe Brasileiro
2018-08-04_15-11-02_UTC.jpg,-5.2765,-35.3794,rio do fogo
2018-07-25_00-38-15_UTC.jpg,,,
2019-01-24_23-04-32_UTC_1.jpg 2019-01-24_23-04-32_UTC_2.jpg,,,
2018-07-15_20-28-47_UTC.jpg,,,
2019-04-03_01-23-42_UTC.jpg,-7.0656390736,-34.8412517907,"Praia Do Bessa, João Pessoa, Paraiba"
2018-12-24_23-13-28_UTC.jpg,,,
2020-02-10_10-41-53_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2020-05-07_23-07-51_UTC_2.jpg 2020-05-07_23-07-51_UTC_4.jpg 2020-05-07_23-07-51_UTC_3.jpg 2020-05-07_23-07-51_UTC_1.jpg,,,
2020-04-16_13-04-36_UTC_6.jpg 2020-04-16_13-04-36_UTC_3.jpg 2020-04-16_13-04-36_UTC_5.jpg 2020-04-16_13-04-36_UTC_4.jpg 2020-04-16_13-04-36_UTC_2.jpg 2020-04-16_13-04-36_UTC_1.jpg 2020-04-16_13-04-36_UTC_8.jpg 2020-04-16_13-04-36_UTC_7.jpg,,,
2020-02-18_01-41-05_UTC.jpg,-24.0998552421,-45.690742097,Arquipélago dos Alcatrazes
2019-01-29_16-07-58_UTC.jpg,-9.15981,-35.29598,"Pôrto De Pedras, Alagoas, Brazil"
2020-04-07_15-35-05_UTC.jpg,-9.08746,-35.2634,japaratinga
2018-07-26_22-00-00_UTC.jpg,,,
2020-02-27_22-53-13_UTC.jpg,,,
2018-11-28_23-19-40_UTC_1.jpg 2018-11-28_23-19-40_UTC_2.jpg,,,
2019-12-06_12-25-46_UTC_4.jpg 2019-12-06_12-25-46_UTC_2.jpg 2019-12-06_12-25-46_UTC_1.jpg 2019-12-06_12-25-46_UTC_3.jpg 2019-12-06_12-25-46_UTC_5.jpg,-17.3127030943,-44.9969744682,Arraial d'Ajuda
2019-03-21_22-47-11_UTC_2.jpg 2019-03-21_22-47-11_UTC_1.jpg,,,
2020-02-14_12-01-51_UTC.jpg,-8.504167,-35.001111,Porto de Galinhas
2019-08-01_23-34-32_UTC.jpg,,,
2020-04-09_22-43-10_UTC_1.jpg 2020-04-09_22-43-10_UTC_2.jpg,,,
2018-11-09_18-06-29_UTC.jpg,-3.8396,-32.4107,fernando de noronha
2019-12-04_16-10-44_UTC.jpg,,,
2019-10-30_12-22-04_UTC.jpg,,,
2020-01-28_22-35-45_UTC_1.jpg 2020-01-28_22-35-45_UTC_2.jpg,,,
2018-09-20_22-19-13_UTC.jpg,,,
